id,stroke,kanji,kunyomi,knyomi,meaning
1,1,一,ひと,イチ・イツ,"一つ = satu buah, 一日 = satu hari, 一課 = pelajaran Satu"
2,2,二,ふた,ニ,"二つ = 2 buah, 二年 = 2 tahun"
3,2,七,なな,シチ,"七つ = 7 buah, 七月 = bulan Juli"
4,2,八,やつ,ハチ・ハッ,"八つ = 8 buah, 八百屋 = toko sayur dan buah, 八年 = 8 tahun, 八百 = 8 ratus"
5,2,九,ここの,キュウ・ク,"九つ = 9 buah, 九時 = jam/pukul 9"
6,2,十,とお・と,ジュウ・ジュッ・ジッ,"十日 = tanggal 10, 十色 = 10 warna, bermacam ragam, 十字路 = perempatan jalan, 十回 = 10 kali, 十 = 10 kali"
7,2,人,ひと,ジン・ニン,"人 = orang, 旅人 = orang yang berkelana, 日本人 = orang Jepang, 三人 = 3 orang"
8,3,三,みっつ・み,サン,"三つ = 3 buah, 三重 = 3 lapis, 三年 = 3 tahun"
9,3,千,ち,セン・ゼン,"千葉 (nama tempat) = Chiba, 千円 = seribu yen, 三千 = 3 ribu"
10,3,万,,マン・バン,"一万 = 10 ribu, 万国 = seluruh Negara"
11,3,山,やま,サン・ザン,"山 = gunung, 富士山 = gunung Fuji, 火山 = gunung berapi"
12,3,川,かわ・がわ,セン,"川 = sungai, 小川 = sungai kecil, 川々 = sungai-sungai"
13,3,土,つち,ド・ト,"土 = tanah, 土曜日 = hari sabtu, 土地 = tanah, daratan"
14,3,口,くち,コウ・ク,"口 = mulut, 出口 = pintu keluar, 人口 = populasi, jumlah penduduk, 口調 = nada bicara"
15,3,女,おんな・め,ジョ・ニョ・ニョウ,"女 = wanita, perempuan, 女神 = dewi, 女性 = wanita, perempuan"
16,3,子,ここ・こ,シ・ス,"女の子 = anak-anak, 迷子 = anak yang tersesat/kesasar, 子孫 = anak cucu, 様子 = keadaan"
17,3,上,うえ・うわ・かみ・あ・のぼ,ジョウ・ショウ,"上 = atas, 上着 = jaket, 川上 = hulu sungai, 上げる = mengangkat, 上る = naik, 上司 = atasan, boss, 上人 = santa, orang suci"
18,3,下,した・しも・もと・さ・くだ・お,カ・ゲ,"下 = bawah, 川下 = hilir sungai, 足下 = sekitar pijakan kaki, 下がる = turun, jatuh, 下る = turun, menuruni, 下ろす = menurunkan, menjatuhkan, 地下 = bawah tanah, 上下 = atas dan bawah"
19,3,大,おお,ダイ・タイ,"大きい = besar, 大学 = universitas, perguruan tinggi, 大量 = jumlah besar"
20,3,小,ちい・こ,ショウ,"小さい = kecil, 小鳥 = anak burung, burung kecil, 小川 = sungai kecil, 小学校 = sekolah dasar"
21,4,五,いつ,ゴ,"五つ = 5 buah, 五年 = 5 tahun"
22,4,六,む・むい,ロク,"六つ = 6 buah, 六日 = tanggal 6, 6 hari, 六年 = 6 tahun"
23,4,円,まる,エン,"円い = bundar, 円形 = bentuk bundar"
24,4,日,ひ・び・か,ニチ・ジツ,"日陰 = tempat teduh, 日 = sinar matahari dan hari, 二日 = tanggal 2, 2 hari, 日常 = sehari-hari, 日光 = sinar matahari, 休日 = hari libur"
25,4,月,つき・つづき,ゲツ・ケツ・ガツ,"月見 = menikmati pemandangan bulan, 三日月 = bulan sabit, 満月 = bulan purnama, 月給 = gaji bulanan, 正月 = tahun baru"
26,4,木,き・こ,モク・ボク,"木 = pohon, kayu, 木陰 = tempat rindang"
27,4,火,ひ・び・ほ,カ,"火 = api, 花火 = kembang api, 火影 = cahaya api, 火事 = kebakaran"
28,4,水,みず,スイ,"水 = air, 水滴 = tetesan air"
29,4,中,なか,チュウ・ジュウ,"中 = dalam, 中学校 = SMP, 一日中 = seharian"
30,4,今,いま,コン,"今月 = bulan ini, 今 = dulu dan sekarang"
31,4,午,,ゴ,午後 = sesudah jam 12 siang
32,4,手,て・でた,シュ,"手 = tangan, 人手 = tenaga bantuan, 手綱 = kendali, kekang, 歌手 = penyanyi"
33,4,友,とも,ユウ,"友だち = teman, sahabat, 友人 = teman, sahabat"
34,4,父,ちち,フ,"父親 = orang tua laki-laki, ayah, 父母 = ayah dan ibu"
35,4,雨,あめ・あま,ウ,"天気 = langit, 天の川 = bima sakti, 天国 = surga"
36,4,少,すく・すこ,ショウ,"少ない = sedikit, kurang, 少し = sedikit, agak, 少年 = pemuda"
37,5,生,い・う・は・なま,セイ・ショウ,"生きる = hidup, 生まれる = lahir, 生える = tumbuh, 生 = dengan tanpa campuran, 生徒 = murid, siswa, 一生 = seumur hidup"
38,5,本,もと,ホン,"本 = buku, 日本 = Jepang, 本校 = pangkal, dasar"
39,5,古,ふる,コ,"古い = tua, lama, 古典 = klasik"
40,5,右,みぎ,ウ・ユウ,"右折 = belok kanan, 右側 = sebelah kanan"
41,5,左,ひだり,サ,"左折 = belok kiri, 左側 = sebelah kiri, 左右 = kiri dan kanan"
42,5,出,で・だ,シュツ・スイ,"出る = keluar, 出す = mengeluarkan, 出国 = ke luar negeri, 出席 = pengeluaran dan periklanan"
43,5,北,きた,ホク・ホッ,"北 = utara, 北海道 = pulau Hokkaido"
44,5,半,なか,ハン,"半 = setengah, setengah jam"
45,5,母,はは,ボ,"母 = ibu, perempuan, orang tua perempuan"
46,5,兄,あに,ケイ・キョウ,"兄 = kakak beradik, 兄弟 = saudara laki-laki"
47,5,冬,ふゆ,トウ,冬 = musim dingin
48,5,白,しろ・しら,ハク・ビャク,"白い = putih, 白米 = beras putih, 白身 = putih telur, 白書 = (laporan) catatan, 白衣 = seragam putih"
49,5,立,た・たち,リツ,"立つ = berdiri, 立場 = sudut pandang, posisi"
50,5,学,まな,ガク,"学ぶ = belajar, 学生 = siswa, 大学 = universitas"
51,6,百,ひゃく,ヒャク,"百 = seratus, 百本 = seratus batang, 三百 = tiga ratus, 六百 = enam ratus"
52,6,年,とし,ネン,"年 = tahun, 年生 = tahun/usia, 学年 = tingkat sekolah"
53,6,先,さき,セン,"先生 = guru, 先週 = minggu lalu, 先月 = bulan lalu"
54,6,行,い・ゆ・おこな,コウ・ギョウ,"行く = pergi, 行う = menyelenggarakan, 行為 = kelakuan, 行列 = barisan/antrian"
55,6,休,やす,キュウ,"休む = beristirahat, 休日 = hari libur"
56,6,西,にし,セイ・サイ・ザイ,"= pintu barat, = orang barat, = negara bagian barat Jepang, = timur dan barat"
57,6,毎,,マイ,= setiap hari
58,6,気,,キ・ケ,"= perasaan, = tanda, indikasi"
59,6,有,あ,ユウ・ウ,"= ada, = dikenakan biaya, = ada atau tidak"
60,6,名,な,メイ・ミョウ,"= nama, = kartu nama, = nama keluarga"
61,6,会,あ,カイ・エ,"= bertemu, = rapat, = pemahaman, pengertian"
62,6,安,やす,アン,"= murah, = keselamatan"
63,7,何,なに・なん,カ,"= sesuatu, = jam berapa, = geometri, ilmu ukur"
64,7,男,おとこ,ダン・ナン,"= laki-laki, pria, = laki-laki, pria, = putra sulung"
65,7,車,くるま・ぐるま,シャ,"= kendaraan, = roda gigi, persneling, = kondektur"
66,7,花,はな,カ,"花 = bunga, 花見 = berang satu, 花瓶 = vas bunga"
67,7,来,く・きた,ライ,"来る = datang, 来ない = tidak datang, 来年 = tahun depan"
68,7,見,み,ケン,"見る = melihat, 見学 = tamasya, wisata"
69,7,近,ちか,キン,"近く = dekat, 近所 = sekitar"
70,7,図,はか,ズ・ト,"図る = merencanakan, menggambar, 図書館 = perpustakaan"
71,7,赤,あか,セキ・シャク,"赤 = merah, 赤信号 = lampu merah"
72,7,言,い・こと,ゲン・ゴン,"言う = berkata, 言葉 = kata, bahasa, 伝言 = pesan"
73,8,金,かね・かな,キン・コン・ゴン,"お金 = uang, 金属 = logam, 釘金 = palu, martil"
74,8,学,まな,ガク・ガッ,"= belajar, = pelajar, murid, = sekolah"
75,8,雨,あめ・あま,ウ,"= hujan, = payung hujan, = curah hujan"
76,8,店,みせ,テン,"= toko, = dalam toko"
77,9,前,まえ,ゼン,"= prakata, kata pengantar, = depan & belakang, sebelum & sesudah"
78,9,後,あと・うし・のち・おく,ゴ・コウ,"= sesudah, = belakang, = nanti, = terbelakang, ketinggalan, = sesudah makan, = junior, adik kelas"
79,9,南,みなみ,ナン・ナ,"= selatan, = aku berserah (kepada Buddha), = kutub selatan"
80,9,食,た,ショク,"= makan, = makan"
81,9,海,うみ,カイ,"= laut, = angkatan laut"
82,9,春,はる,シュン,"= musim semi, = musim semi"
83,9,秋,あき,シュウ,"= musim gugur, = musim gugur"
84,9,持,も,ジ,"= memegang, memiliki, = membawa"
85,10,校,,コウ,= kepala sekolah
86,10,書,か,ショ,"= menulis, = dokumen"
87,10,高,たか,コウ,"= tinggi, mahal, = SMU, SMA"
88,10,時,とき,ジ,"= kadang-kadang, = waktu"
89,10,家,いえ・や,カ・ケ,"= rumah, = pemilik/tuan rumah, = keluarga, = pembantu, kaki-tangan"
90,10,夏,なつ,カ・ゲ,"= musim panas, = musim panas"
91,10,紙,かみ / がみ,シ,"紙 = kertas, 手紙 = surat, 紙幣 = uang kertas"
92,11,週,,シュウ,週末 = akhir pekan
93,12,朝,あさ,チョウ,"朝 = pagi, 朝食 = sarapan pagi"
94,12,飲,の,イン,"飲む = minum, 飲料 = minuman"
